,,,,,,,Current,Current,,Remaining,Remaining,,Average,Average,,90% Confidence,90% Confidence,,,,,,,,,,Change,Change,Change
,Tm,Lg,D,SRS,rSOS,,W,L,,W,L,,W,L,,Best,Worst,,Post,WC,Div,LDS,LCS,Pennant,Win WS,,1 Day,7 Days,30 Days
1,Atlanta Braves,NL,E,1.2,,,88,73,,0.0,0.0,,88.0,73.0,,88-73,88-73,,100.0%,0.0%,100.0%,100.0%,53.9%,26.7%,14.2%,,0.0%,+10.0%,+22.0%
2,Philadelphia Phillies,NL,E,-0.2,,,82,80,,0.0,0.0,,82.0,80.0,,82-80,82-80,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,-10.0%,-31.1%
3,New York Mets,NL,E,-0.4,,,77,85,,0.0,0.0,,77.0,85.0,,77-85,77-85,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,-5.2%
4,Miami Marlins,NL,E,-0.8,,,67,95,,0.0,0.0,,67.0,95.0,,67-95,67-95,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
5,Washington Nationals,NL,E,-0.7,,,65,97,,0.0,0.0,,65.0,97.0,,65-97,65-97,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
1,Milwaukee Brewers,NL,C,0.9,,,95,67,,0.0,0.0,,95.0,67.0,,95-67,95-67,,100.0%,0.0%,100.0%,100.0%,46.1%,21.0%,10.6%,,0.0%,0.0%,0.0%
2,St. Louis Cardinals,NL,C,0.3,,,90,72,,0.0,0.0,,90.0,72.0,,90-72,90-72,,100.0%,100.0%,0.0%,39.5%,14.9%,6.3%,3.0%,,0.0%,0.0%,+91.7%
3,Cincinnati Reds,NL,C,0.3,,,83,79,,0.0,0.0,,83.0,79.0,,83-79,83-79,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,-66.1%
4,Chicago Cubs,NL,C,-1.6,,,71,91,,0.0,0.0,,71.0,91.0,,71-91,71-91,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
5,Pittsburgh Pirates,NL,C,-1.3,,,61,101,,0.0,0.0,,61.0,101.0,,61-101,61-101,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
1,San Francisco Giants,NL,W,1.3,,,107,55,,0.0,0.0,,107.0,55.0,,107-55,107-55,,100.0%,0.0%,100.0%,100.0%,53.0%,27.1%,13.9%,,0.0%,0.0%,0.0%
2,Los Angeles Dodgers,NL,W,1.6,,,106,56,,0.0,0.0,,106.0,56.0,,106-56,106-56,,100.0%,100.0%,0.0%,60.5%,32.1%,18.9%,12.7%,,0.0%,0.0%,0.0%
3,San Diego Padres,NL,W,-0.4,,,79,83,,0.0,0.0,,79.0,83.0,,79-83,79-83,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,-11.3%
4,Colorado Rockies,NL,W,-0.1,,,74,87,,0.0,0.0,,74.0,87.0,,74-87,74-87,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
5,Arizona Diamondbacks,NL,W,-1.2,,,52,110,,0.0,0.0,,52.0,110.0,,52-110,52-110,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
1,Tampa Bay Rays,AL,E,1.3,,,100,62,,0.0,0.0,,100.0,62.0,,100-62,100-62,,100.0%,0.0%,100.0%,100.0%,57.3%,33.2%,16.5%,,0.0%,0.0%,0.0%
2,Boston Red Sox,AL,E,0.6,,,92,70,,0.0,0.0,,92.0,70.0,,92-70,92-70,,100.0%,100.0%,0.0%,51.9%,22.7%,9.3%,3.8%,,+16.3%,+22.1%,+21.4%
3,New York Yankees,AL,E,0.5,,,92,70,,0.0,0.0,,92.0,70.0,,92-70,92-70,,100.0%,100.0%,0.0%,48.1%,20.0%,10.0%,3.9%,,+23.7%,+24.8%,+13.4%
4,Toronto Blue Jays,AL,E,1.3,,,91,71,,0.0,0.0,,91.0,71.0,,91-71,91-71,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,-22.5%,-40.8%,-11.5%
5,Baltimore Orioles,AL,E,-1.9,,,52,110,,0.0,0.0,,52.0,110.0,,52-110,52-110,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
1,Chicago White Sox,AL,C,0.6,,,93,69,,0.0,0.0,,93.0,69.0,,93-69,93-69,,100.0%,0.0%,100.0%,100.0%,43.9%,20.4%,9.1%,,0.0%,0.0%,0.0%
2,Cleveland Indians,AL,C,0.0,,,80,82,,0.0,0.0,,80.0,82.0,,80-82,80-82,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
3,Detroit Tigers,AL,C,-0.1,,,77,85,,0.0,0.0,,77.0,85.0,,77-85,77-85,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
4,Kansas City Royals,AL,C,-0.7,,,74,88,,0.0,0.0,,74.0,88.0,,74-88,74-88,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
5,Minnesota Twins,AL,C,-0.4,,,73,89,,0.0,0.0,,73.0,89.0,,73-89,73-89,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
1,Houston Astros,AL,W,1.0,,,95,67,,0.0,0.0,,95.0,67.0,,95-67,95-67,,100.0%,0.0%,100.0%,100.0%,56.1%,27.1%,12.3%,,0.0%,0.0%,+3.1%
2,Seattle Mariners,AL,W,0.1,,,90,72,,0.0,0.0,,90.0,72.0,,90-72,90-72,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,-17.5%,-4.6%,-3.8%
3,Oakland Athletics,AL,W,0.4,,,86,76,,0.0,0.0,,86.0,76.0,,86-76,86-76,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,-1.5%,-22.6%
4,Los Angeles Angels,AL,W,-0.5,,,77,85,,0.0,0.0,,77.0,85.0,,77-85,77-85,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
5,Texas Rangers,AL,W,-1.2,,,60,102,,0.0,0.0,,60.0,102.0,,60-102,60-102,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
